,C,D,BN,AN,W
10/30/1953,150,150,175,300,300
10/31/1953,150,150,175,300,300
11/1/1953,150,150,175,300,300
11/2/1953,150,150,175,300,300
11/3/1953,150,150,175,300,300
11/4/1953,150,150,175,300,300
11/5/1953,150,150,175,300,300
11/6/1953,150,150,175,300,300
11/7/1953,150,150,175,300,300
11/8/1953,150,150,175,300,300
11/9/1953,150,150,175,300,300
11/10/1953,150,150,175,300,300
11/11/1953,150,150,175,300,300
11/12/1953,150,150,175,300,300
11/13/1953,150,150,175,300,300
11/14/1953,150,150,175,300,300
11/15/1953,150,150,175,300,300
11/16/1953,150,150,175,300,300
11/17/1953,150,150,175,300,300
11/18/1953,150,150,175,300,300
11/19/1953,150,150,175,300,300
11/20/1953,150,150,175,300,300
11/21/1953,150,150,175,300,300
11/22/1953,150,150,175,300,300
11/23/1953,150,150,175,300,300
11/24/1953,150,150,175,300,300
11/25/1953,150,150,175,300,300
11/26/1953,150,150,175,300,300
11/27/1953,150,150,175,300,300
11/28/1953,150,150,175,300,300
11/29/1953,150,150,175,300,300
11/30/1953,150,150,175,300,300
12/1/1953,150,150,175,300,300
12/2/1953,150,150,175,300,300
12/3/1953,150,150,175,300,300
12/4/1953,150,150,175,300,300
12/5/1953,150,150,175,300,300
12/6/1953,150,150,175,300,300
12/7/1953,150,150,175,300,300
12/8/1953,150,150,175,300,300
12/9/1953,150,150,175,300,300
12/10/1953,150,150,175,300,300
12/11/1953,150,150,175,300,300
12/12/1953,150,150,175,300,300
12/13/1953,150,150,175,300,300
12/14/1953,150,150,175,300,300
12/15/1953,150,150,175,300,300
12/16/1953,150,150,175,300,300
12/17/1953,150,150,175,300,300
12/18/1953,150,150,175,300,300
12/19/1953,150,150,175,300,300
12/20/1953,150,150,175,300,300
12/21/1953,150,150,175,300,300
12/22/1953,150,150,175,300,300
12/23/1953,150,150,175,300,300
12/24/1953,150,150,175,300,300
12/25/1953,150,150,175,300,300
12/26/1953,150,150,175,300,300
12/27/1953,150,150,175,300,300
12/28/1953,150,150,175,300,300
12/29/1953,150,150,175,300,300
12/30/1953,150,150,175,300,300
12/31/1953,150,150,175,300,300
1/1/1954,150,150,175,300,300
1/2/1954,150,150,175,300,300
1/3/1954,150,150,175,300,300
1/4/1954,150,150,175,300,300
1/5/1954,150,150,175,300,300
1/6/1954,150,150,175,300,300
1/7/1954,150,150,175,300,300
1/8/1954,150,150,175,300,300
1/9/1954,150,150,175,300,300
1/10/1954,150,150,175,300,300
1/11/1954,150,150,175,300,300
1/12/1954,150,150,175,300,300
1/13/1954,150,150,175,300,300
1/14/1954,150,150,175,300,300
1/15/1954,150,150,175,300,300
1/16/1954,150,150,175,300,300
1/17/1954,150,150,175,300,300
1/18/1954,150,150,175,300,300
1/19/1954,150,150,175,300,300
1/20/1954,150,150,175,300,300
1/21/1954,150,150,175,300,300
1/22/1954,150,150,175,300,300
1/23/1954,150,150,175,300,300
1/24/1954,150,150,175,300,300
1/25/1954,150,150,175,300,300
1/26/1954,150,150,175,300,300
1/27/1954,150,150,175,300,300
1/28/1954,150,150,175,300,300
1/29/1954,150,150,175,300,300
1/30/1954,150,150,175,300,300
1/31/1954,150,150,175,300,300
2/1/1954,150,150,175,300,300
2/2/1954,150,150,175,300,300
2/3/1954,150,150,175,300,300
2/4/1954,150,150,175,300,300
2/5/1954,150,150,175,300,300
2/6/1954,150,150,175,300,300
2/7/1954,150,150,175,300,300
2/8/1954,150,150,175,300,300
2/9/1954,150,150,175,300,300
2/10/1954,150,150,175,300,300
2/11/1954,150,150,175,300,300
2/12/1954,150,150,175,300,300
2/13/1954,150,150,175,300,300
2/14/1954,150,150,175,300,300
2/15/1954,150,150,175,300,300
2/16/1954,150,150,175,300,300
2/17/1954,150,150,175,300,300
2/18/1954,150,150,175,300,300
2/19/1954,150,150,175,300,300
2/20/1954,150,150,175,300,300
2/21/1954,150,150,175,300,300
2/22/1954,150,150,175,300,300
2/23/1954,150,150,175,300,300
2/24/1954,150,150,175,300,300
2/25/1954,150,150,175,300,300
2/26/1954,150,150,175,300,300
2/27/1954,150,150,175,300,300
2/28/1954,150,150,175,300,300
3/1/1954,150,150,175,300,300
3/2/1954,150,150,175,300,300
3/3/1954,150,150,175,300,300
3/4/1954,150,150,175,300,300
3/5/1954,150,150,175,300,300
3/6/1954,150,150,175,300,300
3/7/1954,150,150,175,300,300
3/8/1954,150,150,175,300,300
3/9/1954,150,150,175,300,300
3/10/1954,150,150,175,300,300
3/11/1954,150,150,175,300,300
3/12/1954,150,150,175,300,300
3/13/1954,150,150,175,300,300
3/14/1954,150,150,175,300,300
3/15/1954,150,150,175,300,300
3/16/1954,150,150,175,300,300
3/17/1954,150,150,175,300,300
3/18/1954,150,150,175,300,300
3/19/1954,150,150,175,300,300
3/20/1954,150,150,175,300,300
3/21/1954,150,150,175,300,300
3/22/1954,150,150,175,300,300
3/23/1954,150,150,175,300,300
